respondent_id,company_has_ai_policy,ai_bias_concern_level,data_privacy_concern_level,supports_ai_regulation,has_experienced_ai_misuse,trust_in_ai_decisions
R05231,Yes - formal,5,5,Strongly disagree,No,Moderate
R05232,Don't know,5,2,Disagree,Unsure,High
R05233,Yes - formal,2,4,Strongly agree,Unsure,Low
R05234,Yes - formal,5,3,Strongly disagree,No,Moderate
R05235,Yes - formal,4,3,Agree,No,Moderate
R05236,Yes - informal,2,4,Strongly agree,Unsure,Moderate
R05237,Yes - informal,2,5,Agree,No,High
R05238,No,5,4,Neutral,No,High
R05239,No,3,5,Disagree,Unsure,Very low
R05240,No,4,3,Neutral,No,Low
R05241,Yes - formal,5,2,Strongly agree,Yes,Moderate
R05242,Yes - formal,5,4,Disagree,No,Moderate
R05243,Yes - formal,2,3,Strongly disagree,No,Moderate
R05244,Yes - informal,4,4,Agree,No,Low
R05245,Don't know,5,3,Neutral,No,Very low
R05246,Don't know,2,3,Agree,No,High
R05247,Don't know,4,5,Agree,Unsure,Low
R05248,No,3,5,Strongly agree,Unsure,High
R05249,Yes - formal,4,5,Neutral,No,Moderate
R05250,Don't know,3,5,Neutral,Unsure,Moderate
R05251,Don't know,4,4,Strongly agree,Yes,Low
R05252,No,4,5,Disagree,Yes,Low
R05253,No,3,5,Agree,Unsure,High
R05254,No,3,3,Agree,No,Low
R05255,No,4,3,Strongly disagree,Unsure,Low
R05256,Yes - informal,4,4,Agree,No,Low
R05257,Don't know,4,5,Agree,No,Moderate
R05258,No,4,5,Agree,Yes,Moderate
R05259,No,3,5,Disagree,Yes,Low
R05260,Yes - formal,4,4,Neutral,No,High
R05261,Don't know,5,4,Neutral,Unsure,Low
R05262,Yes - informal,1,4,Agree,No,Low
R05263,No,3,4,Neutral,Yes,Very low
R05264,Yes - formal,3,3,Strongly disagree,No,Moderate
R05265,No,4,2,Strongly agree,Yes,Moderate
R05266,No,2,5,Agree,No,Moderate
R05267,No,4,5,Strongly agree,No,Low
R05268,No,2,4,Agree,No,Moderate
R05269,Don't know,5,1,Agree,No,High
R05270,Yes - formal,3,3,Neutral,No,Moderate
R05271,Yes - informal,5,5,Agree,No,High
R05272,Don't know,4,4,Strongly agree,No,Low
R05273,No,3,5,Strongly agree,No,Moderate
R05274,No,5,3,Neutral,No,Moderate
R05275,No,3,3,Agree,Unsure,Low
R05276,No,3,1,Neutral,No,Low
R05277,Yes - informal,1,3,Neutral,No,Low
R05278,Yes - informal,5,2,Agree,Unsure,Moderate
R05279,Don't know,3,3,Neutral,Yes,High
R05280,Yes - formal,3,3,Neutral,No,Very low
R05281,Yes - informal,3,2,Strongly agree,No,Moderate
R05282,Yes - informal,5,5,Agree,No,High
R05283,No,3,3,Agree,No,Moderate
R05284,Don't know,5,3,Agree,No,Moderate
R05285,No,3,3,Agree,No,Moderate
R05286,Yes - formal,4,2,Agree,No,Low
R05287,Yes - informal,3,4,Disagree,No,Low
R05288,No,5,4,Agree,No,Moderate
R05289,Yes - informal,2,4,Strongly agree,Unsure,High
R05290,Don't know,4,4,Neutral,No,Low
R05291,No,5,5,Neutral,No,Low
R05292,Don't know,5,4,Neutral,No,Moderate
R05293,Yes - informal,3,4,Strongly agree,No,Moderate
R05294,Don't know,3,3,Disagree,No,Very low
R05295,Yes - informal,3,5,Strongly agree,No,Moderate
R05296,Yes - formal,5,4,Agree,Unsure,Low
R05297,No,3,4,Strongly agree,No,Moderate
R05298,Yes - formal,3,3,Agree,Unsure,Moderate
R05299,Yes - formal,4,5,Agree,No,Low
R05300,Don't know,1,3,Strongly disagree,No,Moderate
R05301,No,4,4,Neutral,No,Low
R05302,No,4,3,Agree,Unsure,Moderate
R05303,Yes - formal,5,3,Agree,Yes,High
R05304,No,4,4,Neutral,No,Moderate
R05305,Yes - informal,2,2,Agree,No,Low
R05306,No,3,3,Neutral,Unsure,Moderate
R05307,Yes - formal,5,5,Agree,No,High
R05308,No,5,2,Agree,Unsure,Moderate
R05309,Yes - informal,4,3,Disagree,No,High
R05310,Yes - informal,3,5,Disagree,Unsure,Low
R05311,Yes - formal,2,3,Agree,No,High
R05312,Yes - formal,2,5,Agree,No,Low
R05313,Yes - formal,5,3,Agree,No,High
R05314,Yes - informal,3,5,Agree,No,Very low
R05315,No,5,3,Neutral,No,Moderate
R05316,No,5,5,Agree,No,Moderate
R05317,No,4,5,Disagree,Yes,High
R05318,Yes - formal,2,3,Agree,Yes,Moderate
R05319,No,4,4,Neutral,No,Moderate
R05320,Don't know,5,4,Neutral,No,Moderate
R05321,No,5,4,Agree,Unsure,Low
R05322,No,5,4,Neutral,Unsure,High
R05323,Yes - informal,3,5,Agree,Unsure,High
R05324,Yes - formal,3,2,Strongly agree,No,High
R05325,Yes - informal,4,2,Neutral,Unsure,Very low
R05326,Yes - formal,4,3,Agree,Unsure,Very low
R05327,Yes - formal,4,5,Agree,No,High
R05328,No,5,3,Strongly disagree,Yes,Low
R05329,Yes - formal,4,4,Neutral,Unsure,Moderate
R05330,Yes - informal,1,4,Strongly agree,No,Low
R05331,Don't know,4,5,Neutral,No,High
R05332,Yes - formal,5,2,Agree,Unsure,Moderate
R05333,No,2,4,Agree,No,Very low
R05334,Yes - informal,4,3,Strongly agree,No,Moderate
R05335,Yes - formal,4,1,Strongly agree,No,Moderate
R05336,No,4,4,Neutral,No,High
R05337,Yes - formal,5,3,Neutral,No,Moderate
R05338,Yes - formal,3,5,Neutral,Yes,Moderate
R05339,Yes - formal,4,5,Agree,Unsure,Very low
R05340,No,5,4,Disagree,No,Low
R05341,Yes - formal,3,3,Agree,No,Moderate
R05342,Yes - informal,3,4,Neutral,No,Low
R05343,Don't know,4,1,Strongly disagree,Yes,Low
R05344,Yes - formal,3,5,Neutral,No,Moderate
R05345,Yes - formal,4,4,Agree,No,Low
R05346,Don't know,5,2,Strongly agree,Unsure,Moderate
R05347,No,2,5,Agree,Unsure,Low
R05348,Yes - informal,3,4,Agree,Unsure,High
R05349,Yes - informal,5,3,Strongly agree,No,Moderate
R05350,Yes - formal,4,4,Neutral,No,Moderate
R05351,Yes - formal,1,4,Neutral,Unsure,Moderate
R05352,No,5,3,Agree,No,Low
R05353,No,5,2,Neutral,No,High
R05354,Don't know,5,5,Neutral,No,Very low
R05355,Yes - formal,5,4,Disagree,No,Moderate
R05356,Don't know,3,3,Agree,Unsure,Moderate
R05357,No,5,5,Agree,No,Moderate
R05358,No,4,5,Agree,No,High
R05359,Yes - formal,4,4,Agree,No,Very low
R05360,Yes - informal,5,3,Disagree,Unsure,Moderate
R05361,No,5,4,Agree,No,High
R05362,No,5,3,Strongly agree,Yes,Low
R05363,Yes - formal,4,3,Agree,No,Moderate
R05364,No,3,5,Agree,Unsure,Moderate
R05365,Yes - formal,3,3,Strongly agree,Yes,Moderate
R05366,Don't know,4,4,Strongly disagree,No,Low
R05367,Yes - informal,4,4,Strongly agree,No,Low
R05368,Yes - formal,3,3,Disagree,No,Low
R05369,No,5,5,Agree,No,Low
R05370,Don't know,3,4,Neutral,No,Moderate
R05371,Yes - informal,3,4,Strongly agree,Yes,Moderate
R05372,Don't know,2,4,Agree,Unsure,Low
R05373,Yes - formal,4,5,Agree,Yes,Moderate
R05374,No,4,4,Disagree,No,Moderate
R05375,No,4,5,Strongly disagree,Yes,Moderate
R05376,Yes - formal,3,3,Agree,No,Moderate
R05377,No,5,4,Strongly disagree,No,Moderate
R05378,Yes - formal,3,5,Strongly agree,No,Moderate
R05379,No,3,1,Neutral,No,Moderate
R05380,Yes - informal,3,5,Neutral,Unsure,Low
R05381,Don't know,3,5,Disagree,No,Low
R05382,No,3,5,Neutral,No,Moderate
R05383,Don't know,5,2,Agree,No,Moderate
R05384,No,5,2,Agree,Yes,Low
R05385,Yes - informal,5,4,Disagree,Yes,Moderate
R05386,Yes - formal,3,5,Strongly agree,No,High
R05387,Don't know,4,2,Agree,No,Moderate
R05388,Don't know,4,4,Strongly disagree,Yes,Moderate
R05389,Yes - informal,2,3,Agree,No,Moderate
R05390,Don't know,3,4,Neutral,No,Very low
R05391,Yes - informal,4,4,Neutral,No,Moderate
R05392,Don't know,3,5,Neutral,No,Moderate
R05393,Yes - informal,3,5,Disagree,Unsure,Very low
R05394,Don't know,4,4,Agree,No,Very low
R05395,Yes - formal,3,4,Neutral,Yes,High
R05396,Yes - informal,5,4,Agree,No,Very low
R05397,No,4,4,Agree,Unsure,Moderate
R05398,Yes - formal,3,5,Agree,Unsure,High
R05399,Yes - informal,5,4,Neutral,Unsure,Moderate
R05400,Yes - informal,4,4,Neutral,No,Moderate
R05401,Yes - formal,2,4,Agree,No,Very low
R05402,Yes - informal,3,4,Neutral,Unsure,High
R05403,No,1,5,Strongly disagree,No,Moderate
R05404,Yes - formal,4,4,Disagree,Unsure,High
R05405,Don't know,4,4,Agree,Yes,High
R05406,Yes - formal,1,2,Strongly agree,Unsure,Low
R05407,No,4,4,Agree,No,High
R05408,Don't know,4,5,Agree,Unsure,Moderate
R05409,Don't know,5,5,Strongly disagree,Yes,Very low
R05410,Yes - formal,3,4,Agree,Unsure,Moderate
R05411,Yes - formal,3,5,Neutral,No,Moderate
R05412,No,4,4,Agree,No,Moderate
R05413,Yes - formal,4,4,Agree,No,Low
R05414,Don't know,3,5,Disagree,No,Very low
R05415,Yes - informal,4,3,Strongly agree,Unsure,Moderate
R05416,No,3,5,Strongly agree,No,Moderate
R05417,Yes - formal,4,2,Neutral,Unsure,High
R05418,Yes - formal,3,1,Agree,Unsure,Moderate
R05419,Yes - formal,2,4,Neutral,No,Moderate
R05420,No,4,3,Agree,Unsure,Low
R05421,Yes - informal,4,3,Strongly agree,No,Moderate
R05422,Don't know,2,3,Agree,No,Low
R05423,Yes - formal,3,4,Neutral,Yes,Moderate
R05424,No,4,5,Strongly agree,No,Low
R05425,No,5,3,Agree,No,Moderate
R05426,Yes - formal,4,2,Neutral,No,Moderate
R05427,No,3,4,Agree,No,Moderate
R05428,Yes - formal,5,5,Agree,No,Very low
R05429,Yes - formal,5,4,Agree,No,Very low
R05430,No,2,3,Strongly agree,Unsure,Low
R05431,Yes - formal,4,4,Strongly agree,Unsure,Moderate
R05432,No,5,4,Neutral,Unsure,Moderate
R05433,No,5,5,Strongly agree,Unsure,Low
R05434,No,2,3,Agree,Yes,Low
R05435,Yes - informal,2,5,Strongly agree,No,Low
R05436,No,4,5,Strongly disagree,Unsure,Low
R05437,Yes - formal,2,5,Agree,No,Moderate
R05438,Yes - informal,5,3,Neutral,Yes,Very low
R05439,Yes - informal,1,5,Agree,No,Low
R05440,No,5,3,Disagree,No,Moderate
R05441,No,4,5,Disagree,No,High
R05442,No,2,3,Strongly agree,No,High
R05443,Yes - informal,5,4,Agree,No,Moderate
R05444,Yes - informal,2,3,Agree,No,Very low
R05445,Yes - informal,4,4,Neutral,Yes,Moderate
R05446,No,5,3,Disagree,No,Low
R05447,Yes - informal,4,5,Agree,No,Moderate
R05448,Yes - informal,3,5,Agree,No,Very low
R05449,No,3,3,Agree,Unsure,High
R05450,Don't know,2,3,Agree,Unsure,Moderate
R05451,Yes - informal,3,2,Agree,Unsure,High
R05452,No,1,4,Agree,No,Very low
R05453,Don't know,3,2,Strongly agree,No,Very low
R05454,Yes - formal,5,5,Agree,No,Low
R05455,Yes - formal,1,5,Agree,No,Very low
R05456,Yes - informal,3,3,Neutral,Yes,Low
R05457,Yes - informal,4,3,Agree,Yes,Moderate
R05458,No,3,4,Strongly agree,Unsure,Low
R05459,Don't know,2,3,Agree,Unsure,Low
R05460,Yes - formal,3,3,Neutral,No,Moderate
R05461,Yes - formal,3,4,Strongly disagree,Unsure,Moderate
R05462,No,5,3,Agree,No,Low
R05463,Yes - informal,4,4,Strongly agree,No,Moderate
R05464,Yes - formal,5,4,Agree,No,Very low
R05465,No,3,4,Neutral,Unsure,Moderate
R05466,Yes - informal,2,5,Agree,Yes,Low
R05467,Don't know,3,5,Strongly agree,No,Moderate
R05468,Yes - informal,5,5,Agree,Unsure,Very low
R05469,Yes - formal,2,2,Disagree,No,Low
R05470,Yes - informal,3,3,Disagree,No,High
R05471,Don't know,2,1,Agree,No,Moderate
R05472,Yes - informal,3,4,Agree,No,Moderate
R05473,Yes - formal,2,2,Neutral,No,Very low
R05474,Yes - informal,4,3,Strongly disagree,No,Moderate
R05475,Yes - informal,2,1,Agree,No,High
R05476,No,1,3,Agree,No,Moderate
R05477,Yes - formal,4,5,Agree,Unsure,Moderate
R05478,Don't know,3,5,Disagree,No,Very low
R05479,Don't know,4,3,Strongly agree,Unsure,Moderate
R05480,Yes - formal,2,3,Strongly agree,No,Moderate
R05481,Yes - informal,4,5,Agree,Unsure,High
R05482,No,3,5,Agree,No,High
R05483,No,1,5,Strongly disagree,No,Low
R05484,No,2,4,Agree,Yes,Moderate
R05485,No,4,4,Neutral,No,Low
R05486,Yes - informal,3,5,Agree,No,Moderate
R05487,Yes - informal,4,1,Agree,No,High
R05488,No,2,4,Strongly agree,Yes,High
R05489,No,4,5,Neutral,Unsure,Low
R05490,Yes - formal,3,4,Agree,Yes,Moderate
R05491,Yes - formal,3,4,Strongly agree,No,Very low
R05492,Yes - informal,5,4,Strongly disagree,No,Moderate
R05493,No,4,4,Strongly agree,Unsure,Moderate
R05494,Don't know,2,4,Agree,No,Low
R05495,Yes - formal,3,2,Strongly disagree,Yes,Low
R05496,Yes - informal,2,4,Agree,No,Moderate
R05497,Yes - formal,4,5,Disagree,Yes,Very low
R05498,Don't know,4,5,Strongly agree,Yes,Low
R05499,Yes - formal,5,5,Strongly agree,Unsure,Low
R05500,Yes - formal,5,3,Strongly agree,Unsure,Low
R05501,Yes - informal,3,4,Neutral,No,Low
R05502,No,4,5,Strongly agree,No,High
R05503,No,4,3,Agree,No,Very low
R05504,Yes - formal,3,4,Agree,Yes,Moderate
R05505,Don't know,1,4,Neutral,Unsure,Moderate
R05506,Yes - informal,2,4,Neutral,No,High
R05507,No,4,4,Disagree,No,High
R05508,Yes - informal,4,3,Agree,No,Very low
R05509,Don't know,5,5,Agree,No,High
R05510,Yes - formal,4,2,Disagree,No,Low
R05511,No,5,4,Agree,No,Low
R05512,Don't know,5,5,Strongly agree,No,Low
R05513,Yes - informal,5,3,Strongly agree,No,Low
R05514,Yes - formal,3,5,Agree,No,High
R05515,No,4,5,Strongly agree,Unsure,Moderate
R05516,Yes - informal,3,4,Neutral,Unsure,Low
R05517,No,3,5,Strongly disagree,Unsure,Moderate
R05518,Yes - formal,1,4,Strongly agree,No,Very low
R05519,Yes - informal,5,4,Strongly agree,Unsure,Moderate
R05520,Yes - formal,3,4,Neutral,No,Low
R05521,Yes - informal,3,5,Agree,No,Moderate
R05522,Don't know,5,4,Disagree,No,Low
R05523,Yes - formal,4,3,Neutral,No,Moderate
R05524,Don't know,3,4,Agree,No,Moderate
R05525,Yes - informal,3,5,Strongly disagree,No,Low
R05526,Yes - formal,5,5,Neutral,Yes,Moderate
R05527,No,5,3,Strongly disagree,Unsure,Moderate
R05528,No,4,4,Agree,Yes,Low
R05529,No,1,4,Agree,No,Moderate
R05530,Yes - formal,4,5,Strongly agree,No,High
R05531,Don't know,5,5,Neutral,No,Low
R05532,Yes - informal,4,2,Strongly agree,No,Low
R05533,Don't know,4,3,Agree,No,Low
R05534,No,3,3,Disagree,No,Moderate
R05535,Don't know,3,4,Agree,No,Moderate
R05536,Yes - informal,3,4,Agree,Yes,Moderate
R05537,No,5,5,Strongly agree,No,High
R05538,No,4,4,Agree,Unsure,Moderate
R05539,Yes - formal,5,5,Agree,No,Moderate
R05540,No,4,3,Neutral,Unsure,Very low
R05541,Yes - formal,2,4,Neutral,No,Low
R05542,Don't know,3,4,Strongly agree,Yes,Very low
R05543,No,5,3,Agree,Yes,Low
R05544,Yes - informal,4,4,Neutral,Yes,Moderate
R05545,Yes - formal,5,4,Strongly agree,No,Moderate
R05546,No,3,5,Neutral,No,High
R05547,No,4,5,Strongly agree,Yes,High
R05548,No,3,4,Agree,No,Moderate
R05549,Yes - informal,1,4,Agree,No,Low
R05550,Yes - formal,5,5,Agree,Unsure,Moderate
R05551,Yes - informal,3,4,Agree,Yes,Moderate
R05552,Yes - informal,5,5,Agree,No,Low
R05553,Yes - informal,2,2,Neutral,Yes,Low
R05554,No,4,1,Agree,No,Moderate
R05555,No,5,5,Disagree,No,Moderate
R05556,No,3,3,Disagree,No,Moderate
R05557,Don't know,3,3,Disagree,Unsure,High
R05558,Yes - informal,3,5,Disagree,Yes,Moderate
R05559,No,3,2,Disagree,No,Low
R05560,Yes - formal,2,4,Neutral,Unsure,Moderate
R05561,Don't know,5,4,Neutral,No,High
R05562,Don't know,5,3,Agree,No,Low
R05563,Yes - formal,5,4,Strongly agree,No,Moderate
R05564,Yes - informal,1,4,Agree,No,High
R05565,Don't know,5,3,Agree,No,Low
R05566,Yes - formal,4,5,Strongly agree,No,High
R05567,Yes - informal,4,3,Agree,No,Moderate
R05568,Yes - formal,5,1,Agree,No,Low
R05569,Yes - formal,3,5,Agree,Unsure,Moderate
R05570,Yes - informal,4,4,Agree,Unsure,High
R05571,No,2,3,Agree,No,Moderate
R05572,Yes - formal,4,4,Disagree,Yes,Very low
R05573,Yes - formal,4,5,Disagree,No,Moderate
R05574,Yes - informal,5,4,Agree,No,Moderate
R05575,Yes - informal,4,5,Disagree,Unsure,High
R05576,No,5,2,Agree,Yes,Moderate
R05577,Yes - formal,3,5,Agree,No,Low
R05578,No,1,4,Disagree,No,Low
R05579,Don't know,3,4,Strongly agree,No,Low
R05580,Yes - informal,1,4,Agree,No,Low
R05581,Yes - informal,5,2,Strongly disagree,No,High
R05582,Yes - formal,5,4,Neutral,No,Moderate
R05583,Yes - formal,4,3,Agree,Unsure,Very low
R05584,No,5,4,Strongly agree,No,Moderate
R05585,Yes - formal,3,3,Agree,Unsure,Low
R05586,Don't know,4,5,Strongly agree,Unsure,High
R05587,No,4,5,Strongly agree,No,Moderate
R05588,Yes - informal,3,4,Disagree,No,Very low
R05589,Yes - formal,2,3,Disagree,No,Moderate
R05590,Yes - informal,3,4,Agree,Unsure,High
R05591,No,4,5,Disagree,Unsure,Moderate
R05592,Yes - formal,2,3,Strongly agree,No,High
R05593,Yes - formal,4,3,Agree,Unsure,Low
R05594,Yes - informal,3,4,Strongly agree,Yes,Low
R05595,Yes - informal,5,3,Disagree,No,Moderate
R05596,Yes - formal,4,4,Neutral,Unsure,Moderate
R05597,No,5,2,Agree,No,Moderate
R05598,Don't know,3,3,Neutral,No,Low
R05599,No,3,5,Neutral,No,High
R05600,No,4,5,Neutral,No,Moderate
R05601,Yes - formal,3,1,Strongly agree,No,Moderate
R05602,Yes - informal,3,3,Agree,No,Very low
R05603,No,4,5,Agree,Yes,Moderate
R05604,Yes - formal,3,3,Neutral,Unsure,High
R05605,Yes - formal,3,1,Strongly disagree,No,Very low
R05606,Yes - informal,4,4,Agree,No,Low
R05607,Don't know,3,4,Strongly disagree,No,Very low
R05608,Don't know,3,5,Strongly agree,Yes,Moderate
R05609,Yes - formal,5,5,Disagree,No,High
R05610,No,5,5,Agree,Unsure,Moderate
R05611,No,5,4,Strongly disagree,Yes,Low
R05612,Yes - informal,5,4,Strongly agree,No,Moderate
R05613,Don't know,4,5,Agree,No,Moderate
R05614,Yes - formal,4,5,Strongly agree,No,Low
R05615,Yes - informal,5,4,Neutral,Unsure,Moderate
R05616,Yes - informal,1,5,Agree,Unsure,Moderate
R05617,Yes - informal,3,3,Neutral,No,Moderate
R05618,Yes - formal,5,3,Agree,No,Moderate
R05619,Yes - informal,3,3,Neutral,No,High
R05620,Yes - informal,5,1,Agree,No,Moderate
R05621,Yes - informal,3,3,Disagree,No,Moderate
R05622,Don't know,3,3,Neutral,No,Low
R05623,Yes - informal,2,5,Agree,No,Low
R05624,Yes - formal,4,3,Agree,No,Low
R05625,Yes - formal,5,4,Agree,Yes,Very low
R05626,Yes - informal,3,3,Disagree,Unsure,Very low
R05627,Yes - informal,4,2,Strongly agree,Unsure,Moderate
R05628,Yes - informal,4,4,Strongly disagree,No,High
R05629,Yes - formal,3,5,Agree,No,Very low
R05630,No,3,3,Neutral,No,Moderate
R05631,Yes - formal,3,4,Agree,Yes,Low
R05632,Yes - formal,2,3,Disagree,No,Moderate
R05633,Yes - formal,2,3,Agree,No,Moderate
R05634,Don't know,5,4,Neutral,Yes,Moderate
R05635,Don't know,1,4,Agree,No,Moderate
R05636,Yes - formal,5,2,Strongly disagree,No,Low
R05637,Don't know,4,3,Disagree,Unsure,Low
R05638,Yes - formal,2,4,Neutral,No,Moderate
R05639,Yes - informal,4,4,Neutral,Unsure,Low
R05640,Don't know,3,1,Neutral,No,Low
R05641,Yes - informal,4,5,Neutral,Unsure,Moderate
R05642,Yes - informal,3,5,Strongly agree,Unsure,Low
R05643,No,3,4,Strongly agree,No,High
R05644,Don't know,4,2,Neutral,No,High
R05645,Yes - informal,4,5,Neutral,No,Moderate
R05646,No,4,4,Strongly agree,No,High
R05647,No,2,1,Agree,No,Moderate
R05648,Yes - formal,5,5,Agree,Unsure,Very low
R05649,Yes - informal,5,3,Neutral,No,High
R05650,No,3,4,Neutral,No,High
R05651,Don't know,3,5,Neutral,No,Low
R05652,Yes - formal,3,4,Disagree,No,Moderate
R05653,No,3,4,Neutral,No,Moderate
R05654,No,3,5,Neutral,Unsure,Moderate
R05655,Yes - formal,3,1,Agree,No,High
R05656,No,5,5,Neutral,No,High
R05657,Don't know,2,3,Agree,Yes,Very low
R05658,Yes - formal,2,5,Neutral,No,High
R05659,Yes - informal,3,4,Strongly disagree,No,Moderate
R05660,Yes - informal,4,4,Agree,Yes,Moderate
R05661,No,2,2,Agree,Yes,Moderate
R05662,Yes - formal,3,5,Strongly disagree,No,Moderate
R05663,No,2,5,Agree,No,Moderate
R05664,Yes - formal,5,4,Agree,No,Moderate
R05665,Don't know,5,3,Agree,No,Low
R05666,Yes - formal,5,4,Strongly agree,Unsure,Low
R05667,Yes - formal,5,3,Strongly agree,No,Very low
R05668,Yes - informal,5,4,Strongly agree,No,Moderate
R05669,Don't know,1,5,Agree,No,Very low
R05670,Don't know,4,4,Neutral,Unsure,Low
R05671,No,2,4,Strongly agree,No,Low
R05672,Don't know,3,4,Neutral,Unsure,Low
R05673,Yes - informal,4,4,Strongly agree,Unsure,Moderate
R05674,Yes - informal,5,1,Agree,Yes,Moderate
R05675,Yes - informal,4,4,Neutral,Unsure,High
R05676,No,2,2,Agree,No,Moderate
R05677,No,4,4,Agree,Unsure,Moderate
R05678,No,3,1,Agree,No,Low
R05679,Yes - formal,3,4,Neutral,Yes,Moderate
R05680,Yes - informal,5,1,Neutral,Yes,Very low
R05681,No,2,5,Agree,Yes,Low
R05682,Yes - formal,3,3,Disagree,No,Very low
R05683,Yes - formal,4,4,Neutral,No,Moderate
R05684,Yes - informal,3,4,Strongly agree,Unsure,Moderate
R05685,Don't know,5,4,Agree,Unsure,High
R05686,Yes - formal,3,4,Neutral,No,Moderate
R05687,Yes - formal,4,3,Agree,Unsure,High
R05688,No,3,5,Disagree,Unsure,Moderate
R05689,Yes - informal,4,5,Agree,Yes,Low
R05690,No,3,4,Disagree,No,High
R05691,Don't know,3,4,Strongly agree,No,Very low
R05692,No,3,4,Neutral,Unsure,Moderate
R05693,No,3,4,Agree,No,Low
R05694,Yes - informal,3,3,Strongly agree,Yes,Low
R05695,Yes - formal,3,5,Agree,No,Low
R05696,Yes - formal,4,3,Agree,Unsure,Low
R05697,Don't know,4,5,Agree,Unsure,Low
R05698,Yes - informal,3,4,Strongly agree,Yes,Moderate
R05699,Yes - formal,5,5,Strongly disagree,No,Moderate
R05700,Yes - formal,4,4,Agree,No,Moderate
R05701,Yes - informal,3,4,Agree,No,Moderate
R05702,No,3,5,Strongly disagree,Yes,High
R05703,Yes - informal,4,5,Agree,Unsure,Moderate
R05704,Don't know,3,5,Strongly agree,Yes,High
R05705,Yes - informal,3,4,Disagree,No,Low
R05706,Yes - formal,3,3,Strongly disagree,Yes,Moderate
R05707,Yes - formal,5,5,Strongly disagree,No,High
R05708,Yes - informal,4,5,Neutral,No,Very low
R05709,Yes - informal,5,5,Agree,Unsure,Moderate
R05710,Yes - formal,4,4,Agree,No,Very low
R05711,No,3,4,Disagree,No,Low
R05712,Don't know,5,1,Disagree,No,Moderate
R05713,Don't know,3,3,Agree,No,Low
R05714,Yes - formal,4,4,Neutral,Unsure,Moderate
R05715,Yes - formal,4,4,Disagree,No,Low
R05716,No,3,2,Strongly disagree,Unsure,Low
R05717,Yes - informal,3,5,Strongly agree,Unsure,Moderate
R05718,Yes - formal,3,5,Strongly agree,No,Low
R05719,No,1,3,Agree,Yes,Moderate
R05720,Yes - formal,4,4,Strongly agree,Unsure,High
R05721,Yes - formal,5,3,Neutral,No,Moderate
R05722,No,3,5,Neutral,No,Moderate
R05723,Yes - informal,5,4,Neutral,Unsure,Moderate
R05724,Don't know,5,4,Neutral,No,Moderate
R05725,Yes - informal,5,5,Agree,No,Moderate
R05726,No,4,4,Agree,No,High
R05727,No,5,3,Neutral,No,Low
R05728,No,5,4,Disagree,Yes,High
R05729,No,3,5,Neutral,No,Low
R05730,Yes - informal,5,2,Strongly agree,No,Very low
R05731,Yes - formal,4,5,Neutral,Unsure,Moderate
R05732,No,5,4,Agree,No,Moderate
R05733,Yes - formal,4,2,Disagree,Unsure,Low
R05734,No,3,2,Agree,No,Moderate
R05735,Yes - informal,3,5,Strongly agree,Yes,High
R05736,Yes - formal,3,1,Strongly agree,No,Low
R05737,Yes - formal,4,4,Agree,Yes,Low
R05738,Yes - informal,3,5,Strongly agree,Yes,Moderate
R05739,Yes - informal,3,3,Disagree,No,Moderate
R05740,No,5,5,Agree,No,Moderate
R05741,Yes - formal,5,5,Agree,No,Moderate
R05742,Yes - informal,3,3,Strongly disagree,No,Moderate
R05743,Yes - informal,5,5,Neutral,Unsure,Low
R05744,No,4,1,Disagree,No,Low
R05745,No,3,2,Strongly agree,No,Moderate
R05746,Yes - informal,3,4,Strongly disagree,No,Low
R05747,No,4,5,Strongly agree,Unsure,Low
R05748,No,3,4,Strongly agree,No,High
R05749,No,4,4,Neutral,No,Very low
R05750,No,5,3,Disagree,No,Moderate
R05751,Yes - informal,3,4,Neutral,No,Moderate
R05752,Yes - informal,5,4,Agree,No,High
R05753,Don't know,5,5,Agree,No,Low
R05754,Don't know,3,4,Agree,No,Low
R05755,Don't know,4,4,Strongly disagree,Unsure,Moderate
R05756,No,1,4,Agree,No,Moderate
R05757,Don't know,5,4,Strongly agree,No,High
R05758,Yes - informal,5,5,Agree,No,Low
R05759,No,5,4,Neutral,Unsure,Moderate
R05760,No,1,3,Neutral,No,Low
R05761,No,4,3,Agree,Yes,High
R05762,Yes - formal,4,5,Neutral,No,Moderate
R05763,Yes - formal,2,3,Agree,No,Moderate
R05764,Don't know,4,4,Strongly agree,Unsure,High
R05765,Don't know,5,3,Disagree,No,Moderate
R05766,Don't know,5,1,Agree,No,Low
R05767,Yes - formal,2,4,Strongly agree,Yes,High
R05768,Yes - informal,3,4,Agree,Yes,Low
R05769,Yes - formal,3,5,Agree,No,Moderate
R05770,Yes - informal,5,4,Strongly agree,No,Very low
R05771,No,4,5,Disagree,Unsure,Moderate
R05772,Don't know,3,5,Strongly disagree,No,Low
R05773,Yes - informal,3,4,Agree,Unsure,Moderate
R05774,Yes - formal,3,5,Neutral,No,Very low
R05775,Yes - informal,3,4,Strongly disagree,No,Moderate
R05776,No,4,3,Neutral,No,Moderate
R05777,Don't know,2,4,Neutral,Unsure,Moderate
R05778,No,3,4,Strongly agree,No,Low
R05779,Yes - formal,3,4,Neutral,No,High
R05780,Yes - formal,4,4,Strongly agree,No,Moderate
R05781,Yes - informal,3,2,Agree,No,Very low
R05782,No,5,3,Agree,Unsure,Low
