respondent_id,skills,num_skills,top_certification,weekly_learning_hours,primary_learning_platform,learned_genai_skills_2024_2026,employer_provides_ai_training
R05504,PyTorch; MLOps; Python; A/B Testing; Graph Neural Networks; Edge AI / TinyML; R; AWS; Generative AI; Prompt Engineering; TensorFlow,11,,8,University courses,Yes,Yes
R05505,Graph Neural Networks; SQL; Reinforcement Learning; Computer Vision; MLOps; Scikit-learn; PyTorch; Fine-tuning LLMs,8,TensorFlow Developer Certificate,4,edX,No,Yes
R05506,LangChain; Prompt Engineering; Generative AI; Reinforcement Learning; Pandas; RAG Pipelines; A/B Testing; Scikit-learn; Fine-tuning LLMs; R; MLOps,11,AWS ML Specialty,10,Company training,Yes,No
R05507,Reinforcement Learning; Feature Engineering; Pandas; AWS; Prompt Engineering; Statistics,6,,0,Kaggle Learn,No,No
R05508,Reinforcement Learning; Spark; TensorFlow; Statistics; Prompt Engineering; Scikit-learn; RAG Pipelines; Azure,8,,6,Fast.ai,No,Yes
R05509,R; MLOps; Spark; Statistics; Graph Neural Networks; PyTorch; SQL; Python; Generative AI; Scikit-learn; NLP,11,Kaggle Competitions Expert,5,University courses,No,No
R05510,Time Series Analysis; Prompt Engineering; TensorFlow; Scikit-learn; GCP; Transformers; Statistics; Generative AI; SQL; Fine-tuning LLMs; NLP,11,TensorFlow Developer Certificate,16,Coursera,Yes,Partially
R05511,Pandas; GCP; SQL; A/B Testing; Transformers; Generative AI; PyTorch; RAG Pipelines,8,Azure AI Engineer,11,LinkedIn Learning,No,No
R05512,AWS; R; PyTorch; Generative AI; Reinforcement Learning; Feature Engineering; LangChain; Python; NLP; Edge AI / TinyML,10,Coursera ML Certificate,7,Kaggle Learn,Yes,Partially
R05513,R; Spark; GCP; Graph Neural Networks; Data Visualization; Docker; MLOps; RAG Pipelines; Scikit-learn; PyTorch,10,DeepLearning.AI Specialization,10,Pluralsight,Yes,Partially
R05514,Computer Vision; MLOps; Data Visualization; RAG Pipelines,4,AWS ML Specialty,12,YouTube,Yes,Partially
R05515,Python; Transformers; A/B Testing; Prompt Engineering; Data Visualization; Scikit-learn; GCP; Spark; PyTorch; RAG Pipelines; SQL,11,TensorFlow Developer Certificate,0,Self-study (books/papers),Yes,Yes
R05516,PyTorch; Generative AI; Data Visualization; Fine-tuning LLMs,4,Kaggle Competitions Expert,7,Fast.ai,No,Partially
R05517,Graph Neural Networks; Reinforcement Learning; Data Visualization; TensorFlow; Computer Vision; SQL; MLOps; Time Series Analysis; Pandas; PyTorch,10,Coursera ML Certificate,6,Kaggle Learn,Yes,No
R05518,Fine-tuning LLMs; Statistics; SQL; R; Pandas; A/B Testing; Generative AI; PyTorch,8,Azure AI Engineer,7,Coursera,No,Partially
R05519,Feature Engineering; Python; PyTorch; Reinforcement Learning; Kubernetes; Prompt Engineering; Azure; Graph Neural Networks,8,,12,Self-study (books/papers),Yes,Partially
R05520,PyTorch; R; Statistics; TensorFlow; MLOps; Spark,6,Kaggle Competitions Expert,7,LinkedIn Learning,Yes,Yes
R05521,R; Scikit-learn; GCP; Docker; PyTorch; RAG Pipelines; Python; Graph Neural Networks,8,Kaggle Competitions Expert,2,Pluralsight,Yes,No
R05522,Python; MLOps; Scikit-learn; GCP; Prompt Engineering; TensorFlow; Azure,7,TensorFlow Developer Certificate,13,Kaggle Learn,Yes,No
R05523,Reinforcement Learning; Spark; Pandas; TensorFlow; Edge AI / TinyML; Time Series Analysis; MLOps,7,Google Professional ML Engineer,0,Fast.ai,No,Partially
R05524,Azure; MLOps; Scikit-learn; Statistics; Feature Engineering; Time Series Analysis; GCP; SQL; Kubernetes,9,,8,Self-study (books/papers),Yes,No
R05525,Fine-tuning LLMs; Reinforcement Learning; Edge AI / TinyML; RAG Pipelines; Feature Engineering; AWS; Graph Neural Networks; TensorFlow,8,DeepLearning.AI Specialization,4,Pluralsight,Yes,Yes
R05526,GCP; Scikit-learn; Pandas; Azure,4,,5,Coursera,Yes,No
R05527,R; Reinforcement Learning; A/B Testing; Feature Engineering; Kubernetes; Python,6,TensorFlow Developer Certificate,5,LinkedIn Learning,Yes,Partially
R05528,A/B Testing; SQL; LangChain; Python; NLP; AWS,6,Kaggle Competitions Expert,13,Kaggle Learn,Yes,No
R05529,Docker; NLP; Python; Prompt Engineering; Graph Neural Networks; SQL; Spark; Feature Engineering; TensorFlow; PyTorch; R,11,Coursera ML Certificate,8,Fast.ai,No,Yes
R05530,Feature Engineering; Spark; AWS; TensorFlow; PyTorch; R; Transformers; Data Visualization,8,DeepLearning.AI Specialization,3,Self-study (books/papers),No,Partially
R05531,Edge AI / TinyML; Feature Engineering; AWS; Generative AI; Prompt Engineering; Pandas; LangChain; RAG Pipelines,8,Coursera ML Certificate,4,Company training,Yes,Yes
R05532,Graph Neural Networks; Spark; GCP; Fine-tuning LLMs; MLOps,5,Google Professional ML Engineer,7,LinkedIn Learning,Yes,No
R05533,Transformers; Edge AI / TinyML; Kubernetes; SQL; R; GCP; Reinforcement Learning; Scikit-learn; TensorFlow,9,,1,Company training,No,Partially
R05534,Kubernetes; Feature Engineering; TensorFlow; AWS; RAG Pipelines; Scikit-learn; Graph Neural Networks,7,AWS ML Specialty,0,Coursera,No,No
R05535,Transformers; Azure; SQL; LangChain; Feature Engineering; R; MLOps,7,Kaggle Competitions Expert,4,Coursera,No,No
R05536,Generative AI; Scikit-learn; Feature Engineering; Fine-tuning LLMs; A/B Testing; Time Series Analysis; MLOps; TensorFlow; Pandas; SQL; Computer Vision,11,Google Professional ML Engineer,10,Pluralsight,Yes,Partially
R05537,Reinforcement Learning; Generative AI; Statistics; Transformers; Spark; Edge AI / TinyML; Feature Engineering,7,Coursera ML Certificate,8,Self-study (books/papers),No,No
R05538,Azure; SQL; Fine-tuning LLMs; Transformers; Prompt Engineering; Statistics; Kubernetes; Generative AI; Scikit-learn,9,AWS ML Specialty,7,Kaggle Learn,Yes,Partially
R05539,Prompt Engineering; Python; AWS; Graph Neural Networks; MLOps; Kubernetes; Spark,7,,9,DeepLearning.AI,No,Partially
R05540,Generative AI; Graph Neural Networks; Fine-tuning LLMs; Feature Engineering; RAG Pipelines; Edge AI / TinyML; Azure; Data Visualization; GCP,9,Kaggle Competitions Expert,2,edX,Yes,No
R05541,Graph Neural Networks; Fine-tuning LLMs; NLP; Python; Time Series Analysis; Transformers; SQL; Data Visualization; A/B Testing,9,,18,University courses,Yes,Yes
R05542,Prompt Engineering; Computer Vision; Pandas; GCP; Docker; Azure; Graph Neural Networks; Edge AI / TinyML; TensorFlow,9,Coursera ML Certificate,2,DeepLearning.AI,Yes,Yes
R05543,NLP; MLOps; Feature Engineering; Pandas; Time Series Analysis; TensorFlow,6,Kaggle Competitions Expert,15,LinkedIn Learning,Yes,Partially
R05544,Reinforcement Learning; Feature Engineering; Docker; A/B Testing; Transformers; MLOps; Pandas; SQL; LangChain; PyTorch,10,Kaggle Competitions Expert,14,Pluralsight,No,Partially
R05545,RAG Pipelines; Feature Engineering; Scikit-learn; LangChain; Prompt Engineering; AWS; Generative AI,7,Azure AI Engineer,9,Pluralsight,Yes,No
R05546,Time Series Analysis; NLP; AWS; PyTorch; Pandas; Fine-tuning LLMs; MLOps,7,,7,DeepLearning.AI,Yes,Yes
R05547,NLP; Prompt Engineering; Reinforcement Learning; Statistics; Transformers; AWS; Graph Neural Networks; Data Visualization; Azure; LangChain,10,,5,Coursera,Yes,No
R05548,Spark; RAG Pipelines; SQL; Computer Vision; PyTorch; A/B Testing; Data Visualization,7,,8,LinkedIn Learning,Yes,Partially
R05549,Reinforcement Learning; Prompt Engineering; Data Visualization; RAG Pipelines; A/B Testing; PyTorch; Scikit-learn,7,,0,Pluralsight,Yes,Yes
R05550,SQL; Transformers; Reinforcement Learning; GCP; PyTorch; RAG Pipelines; AWS; LangChain; Generative AI,9,Coursera ML Certificate,7,Self-study (books/papers),Yes,No
R05551,Scikit-learn; GCP; Docker; SQL; Edge AI / TinyML; Reinforcement Learning; Computer Vision; Data Visualization; AWS; TensorFlow; Spark; Statistics,12,Coursera ML Certificate,9,University courses,Yes,Yes
R05552,Python; Statistics; Transformers; RAG Pipelines,4,,12,DeepLearning.AI,Yes,Partially
R05553,AWS; A/B Testing; Edge AI / TinyML; Fine-tuning LLMs,4,AWS ML Specialty,4,Kaggle Learn,No,No
R05554,Pandas; Fine-tuning LLMs; Transformers; PyTorch; RAG Pipelines; TensorFlow; Generative AI; Docker; Data Visualization,9,,6,edX,No,Partially
R05555,RAG Pipelines; Data Visualization; LangChain,3,AWS ML Specialty,0,Company training,Yes,No
R05556,Kubernetes; Computer Vision; R; A/B Testing; Prompt Engineering; SQL; NLP; RAG Pipelines; Time Series Analysis; Edge AI / TinyML,10,TensorFlow Developer Certificate,6,LinkedIn Learning,No,No
R05557,Statistics; R; Fine-tuning LLMs; PyTorch; Time Series Analysis; Pandas; Graph Neural Networks; NLP,8,Google Professional ML Engineer,3,Coursera,Yes,Partially
R05558,Edge AI / TinyML; Prompt Engineering; SQL; Feature Engineering; Kubernetes; Transformers,6,TensorFlow Developer Certificate,11,YouTube,Yes,Partially
R05559,Docker; Time Series Analysis; GCP; Kubernetes; PyTorch; Prompt Engineering; Transformers; R,8,Google Professional ML Engineer,12,Pluralsight,Yes,Yes
R05560,Docker; TensorFlow; Computer Vision; Pandas; Reinforcement Learning; SQL; Graph Neural Networks; Azure; AWS; GCP; Generative AI; Spark,12,Coursera ML Certificate,7,Fast.ai,No,No
R05561,AWS; Reinforcement Learning; MLOps; Python; Generative AI; Transformers; NLP,7,,20,Kaggle Learn,No,Partially
R05562,Python; AWS; Scikit-learn; Graph Neural Networks; Feature Engineering; R; Generative AI; Fine-tuning LLMs; GCP; NLP; Reinforcement Learning; Spark; LangChain; Computer Vision,14,DeepLearning.AI Specialization,11,Kaggle Learn,Yes,No
R05563,MLOps; RAG Pipelines; R; Generative AI; Spark; Statistics; LangChain; Graph Neural Networks; NLP; GCP; Reinforcement Learning; Edge AI / TinyML,12,,6,Self-study (books/papers),No,No
R05564,Scikit-learn; NLP; TensorFlow; Pandas; A/B Testing; Prompt Engineering; GCP; Generative AI,8,,14,edX,Yes,No
R05565,NLP; MLOps; A/B Testing; GCP; Feature Engineering; Time Series Analysis; Python; Azure; Statistics; Data Visualization; Kubernetes; SQL,12,AWS ML Specialty,9,edX,No,Partially
R05566,Scikit-learn; Data Visualization; Edge AI / TinyML; TensorFlow; Docker; Pandas; RAG Pipelines; LangChain; PyTorch; Feature Engineering; Fine-tuning LLMs; Statistics; GCP,13,Coursera ML Certificate,11,Self-study (books/papers),No,No
R05567,Python; RAG Pipelines; Edge AI / TinyML; GCP; A/B Testing; Fine-tuning LLMs; Data Visualization; Computer Vision; Pandas,9,Kaggle Competitions Expert,8,University courses,Yes,Yes
R05568,Graph Neural Networks; R; Kubernetes; Time Series Analysis; NLP; Azure; Statistics; GCP,8,Kaggle Competitions Expert,5,Udemy,Yes,Yes
R05569,Transformers; LangChain; Scikit-learn; Graph Neural Networks; Data Visualization; Fine-tuning LLMs; R,7,,6,Pluralsight,No,No
R05570,Graph Neural Networks; MLOps; Spark; Statistics; Transformers,5,Azure AI Engineer,9,Kaggle Learn,Yes,Partially
R05571,Time Series Analysis; AWS; Prompt Engineering; Statistics,4,,0,Udemy,Yes,No
R05572,Scikit-learn; Graph Neural Networks; Reinforcement Learning; MLOps; Fine-tuning LLMs; R; LangChain,7,AWS ML Specialty,7,Udemy,Yes,Partially
R05573,Edge AI / TinyML; Kubernetes; Computer Vision; Fine-tuning LLMs; AWS; NLP; Time Series Analysis; Scikit-learn; Prompt Engineering; R; Generative AI; Spark,12,,0,YouTube,No,Yes
R05574,Statistics; AWS; A/B Testing; Pandas; Time Series Analysis; Prompt Engineering; MLOps; Python; NLP; LangChain,10,DeepLearning.AI Specialization,13,edX,Yes,Partially
R05575,RAG Pipelines; Statistics; Python; R; Azure; AWS; Graph Neural Networks; NLP; GCP; Feature Engineering; Kubernetes; PyTorch; Reinforcement Learning; Prompt Engineering,14,Coursera ML Certificate,0,Kaggle Learn,Yes,No
R05576,TensorFlow; Spark; RAG Pipelines; Edge AI / TinyML; Prompt Engineering; PyTorch; AWS; MLOps,8,Azure AI Engineer,13,edX,No,Yes
R05577,Spark; Fine-tuning LLMs; Azure; A/B Testing; R; AWS; Feature Engineering,7,,9,YouTube,Yes,Partially
R05578,Pandas; A/B Testing; Prompt Engineering; Kubernetes; Transformers; Graph Neural Networks; Python; RAG Pipelines,8,Kaggle Competitions Expert,7,Fast.ai,Yes,Partially
R05579,Statistics; Pandas; Transformers,3,Kaggle Competitions Expert,7,Self-study (books/papers),No,No
R05580,MLOps; Docker; Statistics; PyTorch; RAG Pipelines; Computer Vision,6,Kaggle Competitions Expert,9,edX,Yes,Partially
R05581,Scikit-learn; Edge AI / TinyML; Pandas; R; AWS; Docker; Python; Generative AI; Fine-tuning LLMs,9,AWS ML Specialty,9,Coursera,Yes,No
R05582,Transformers; Pandas; Fine-tuning LLMs; Scikit-learn; Generative AI; MLOps; R; Python; Feature Engineering; SQL; Graph Neural Networks; LangChain,12,Kaggle Competitions Expert,9,Self-study (books/papers),Yes,Yes
R05583,AWS; MLOps; Scikit-learn; Kubernetes,4,Kaggle Competitions Expert,7,Udemy,Yes,No
R05584,Generative AI; Kubernetes; Transformers; PyTorch; Python; SQL; Feature Engineering,7,TensorFlow Developer Certificate,8,Pluralsight,Yes,Partially
R05585,Generative AI; RAG Pipelines; R; Kubernetes,4,,7,University courses,Yes,No
R05586,GCP; TensorFlow; LangChain,3,,4,Self-study (books/papers),Yes,Yes
R05587,Data Visualization; Fine-tuning LLMs; Azure; Statistics; A/B Testing; Graph Neural Networks; Generative AI; Pandas; Time Series Analysis; RAG Pipelines; Feature Engineering; Edge AI / TinyML; Prompt Engineering; Computer Vision,14,Google Professional ML Engineer,6,Coursera,Yes,Partially
R05588,Azure; Python; Kubernetes; GCP; Transformers; Edge AI / TinyML; Generative AI,7,DeepLearning.AI Specialization,5,Udemy,Yes,Yes
R05589,Edge AI / TinyML; Reinforcement Learning; Scikit-learn; Python; TensorFlow; Graph Neural Networks,6,,5,Company training,No,Yes
R05590,MLOps; Spark; Generative AI; Azure; Feature Engineering; Computer Vision; Time Series Analysis; PyTorch,8,TensorFlow Developer Certificate,9,Company training,Yes,Partially
R05591,Generative AI; RAG Pipelines; SQL; Edge AI / TinyML; NLP; Transformers,6,TensorFlow Developer Certificate,5,Coursera,No,Yes
R05592,MLOps; Reinforcement Learning; RAG Pipelines; Generative AI; PyTorch; Time Series Analysis; NLP,7,Azure AI Engineer,10,Self-study (books/papers),Yes,Partially
R05593,Edge AI / TinyML; PyTorch; TensorFlow; Data Visualization; SQL; LangChain,6,Azure AI Engineer,11,Kaggle Learn,Yes,Partially
R05594,NLP; Data Visualization; Reinforcement Learning; Time Series Analysis; Edge AI / TinyML; Computer Vision; AWS; Prompt Engineering; LangChain; Spark; Python; SQL,12,Coursera ML Certificate,11,YouTube,Yes,Partially
R05595,Transformers; Feature Engineering; Edge AI / TinyML; Azure; TensorFlow; LangChain; GCP; Time Series Analysis; Statistics,9,,11,Pluralsight,Yes,No
R05596,Azure; Reinforcement Learning; Scikit-learn; R; Transformers; Time Series Analysis; Data Visualization; Computer Vision,8,DeepLearning.AI Specialization,14,Fast.ai,No,Partially
R05597,Spark; NLP; Pandas; Edge AI / TinyML; Scikit-learn; Transformers; Generative AI; Python; AWS; GCP; Data Visualization; Time Series Analysis; A/B Testing,13,,17,LinkedIn Learning,Yes,Partially
R05598,NLP; Python; SQL; Fine-tuning LLMs; Reinforcement Learning,5,AWS ML Specialty,9,edX,Yes,Partially
R05599,Data Visualization; Python; Generative AI; Azure,4,Google Professional ML Engineer,17,DeepLearning.AI,Yes,No
R05600,RAG Pipelines; Azure; AWS; Transformers; LangChain; Time Series Analysis; Data Visualization,7,AWS ML Specialty,12,edX,Yes,Partially
R05601,TensorFlow; RAG Pipelines; GCP; Feature Engineering; AWS; Time Series Analysis; Docker; Pandas,8,,3,Pluralsight,Yes,Partially
R05602,Feature Engineering; RAG Pipelines; Statistics; Kubernetes; Fine-tuning LLMs; Time Series Analysis; AWS; GCP,8,AWS ML Specialty,2,Kaggle Learn,No,Partially
R05603,MLOps; PyTorch; Edge AI / TinyML; LangChain; Pandas; Data Visualization; Transformers; Python,8,AWS ML Specialty,7,Self-study (books/papers),Yes,No
R05604,Transformers; NLP; Prompt Engineering; Time Series Analysis; LangChain; TensorFlow,6,DeepLearning.AI Specialization,12,YouTube,Yes,Yes
R05605,Pandas; Generative AI; Scikit-learn; LangChain; Kubernetes,5,TensorFlow Developer Certificate,13,edX,No,Partially
R05606,Pandas; Spark; MLOps; Transformers; R,5,,9,Coursera,Yes,No
R05607,Edge AI / TinyML; Scikit-learn; Statistics; Graph Neural Networks; Pandas; Python; LangChain; Transformers; Kubernetes; Data Visualization; Time Series Analysis,11,Coursera ML Certificate,20,edX,Yes,No
R05608,Fine-tuning LLMs; Feature Engineering; Computer Vision; Reinforcement Learning; RAG Pipelines; Time Series Analysis; PyTorch; Kubernetes; NLP,9,,2,University courses,Yes,No
R05609,PyTorch; Data Visualization; Prompt Engineering; Statistics; RAG Pipelines; Graph Neural Networks; Spark,7,Kaggle Competitions Expert,4,Udemy,Yes,Yes
R05610,GCP; A/B Testing; Statistics; Time Series Analysis; PyTorch; Scikit-learn; SQL,7,,10,edX,No,No
R05611,Prompt Engineering; Edge AI / TinyML; GCP; TensorFlow; Graph Neural Networks; Data Visualization; R; Azure; PyTorch; LangChain,10,Azure AI Engineer,9,Udemy,Yes,Partially
R05612,A/B Testing; Graph Neural Networks; LangChain; MLOps; RAG Pipelines,5,,5,Pluralsight,No,Yes
R05613,Statistics; MLOps; Generative AI; Pandas; A/B Testing; LangChain; Azure,7,AWS ML Specialty,10,Fast.ai,Yes,Partially
R05614,LangChain; MLOps; Azure; Pandas; AWS; Spark; Prompt Engineering; Graph Neural Networks; PyTorch,9,AWS ML Specialty,1,DeepLearning.AI,Yes,No
R05615,TensorFlow; Scikit-learn; AWS; MLOps; Pandas; Data Visualization; LangChain; Generative AI; Statistics; Edge AI / TinyML; PyTorch; Reinforcement Learning,12,,7,LinkedIn Learning,Yes,Yes
R05616,R; Data Visualization; SQL; Prompt Engineering; Computer Vision; Azure; A/B Testing; NLP,8,Coursera ML Certificate,3,University courses,No,Yes
R05617,GCP; Pandas; Statistics; Kubernetes; Prompt Engineering; Data Visualization; RAG Pipelines; Azure; Edge AI / TinyML; PyTorch; Reinforcement Learning,11,Coursera ML Certificate,10,Kaggle Learn,No,No
R05618,Graph Neural Networks; Feature Engineering; Computer Vision; GCP; Azure; LangChain; Pandas; Transformers,8,,2,Fast.ai,No,Partially
R05619,Azure; RAG Pipelines; Scikit-learn; Pandas; Prompt Engineering; SQL; GCP; Graph Neural Networks; Data Visualization; Transformers; Reinforcement Learning; Time Series Analysis; NLP,13,Kaggle Competitions Expert,9,edX,No,Partially
R05620,Azure; A/B Testing; Scikit-learn; Fine-tuning LLMs; Computer Vision; TensorFlow,6,Azure AI Engineer,9,University courses,Yes,Partially
R05621,A/B Testing; Reinforcement Learning; Scikit-learn; MLOps; SQL; NLP; Fine-tuning LLMs; Docker; Data Visualization,9,Kaggle Competitions Expert,7,Udemy,No,Partially
R05622,NLP; RAG Pipelines; Reinforcement Learning; R; MLOps; Statistics; Docker,7,Azure AI Engineer,15,Pluralsight,Yes,No
R05623,TensorFlow; A/B Testing; Fine-tuning LLMs; Prompt Engineering; SQL; Computer Vision; GCP; Data Visualization,8,DeepLearning.AI Specialization,5,YouTube,Yes,Partially
R05624,Prompt Engineering; A/B Testing; Reinforcement Learning; Pandas; Statistics; Scikit-learn; PyTorch; Docker,8,Coursera ML Certificate,3,Company training,Yes,Yes
R05625,Feature Engineering; Spark; Generative AI; Scikit-learn; Fine-tuning LLMs; NLP; A/B Testing; Edge AI / TinyML; AWS; RAG Pipelines,10,TensorFlow Developer Certificate,8,Company training,No,No
R05626,Azure; Data Visualization; PyTorch; Reinforcement Learning; Docker; TensorFlow; AWS; Feature Engineering,8,TensorFlow Developer Certificate,14,University courses,Yes,Yes
R05627,Data Visualization; PyTorch; Prompt Engineering; Pandas; Graph Neural Networks; Time Series Analysis,6,,6,LinkedIn Learning,Yes,No
R05628,SQL; Docker; Spark; Kubernetes; Time Series Analysis; Data Visualization; Graph Neural Networks; Azure; PyTorch; Fine-tuning LLMs,10,TensorFlow Developer Certificate,10,Pluralsight,Yes,Partially
R05629,Scikit-learn; Docker; SQL; Pandas; Statistics; R; NLP; Kubernetes; Feature Engineering; MLOps; Azure,11,AWS ML Specialty,7,University courses,Yes,Partially
R05630,LangChain; Scikit-learn; SQL; A/B Testing; PyTorch; Azure; Kubernetes; Fine-tuning LLMs; AWS,9,DeepLearning.AI Specialization,4,DeepLearning.AI,Yes,Yes
R05631,R; Prompt Engineering; Transformers; Azure; Generative AI; GCP; Feature Engineering; TensorFlow; PyTorch,9,,5,Coursera,Yes,Partially
R05632,Python; Edge AI / TinyML; Reinforcement Learning; TensorFlow; LangChain; Generative AI; PyTorch; Time Series Analysis; Pandas; GCP; A/B Testing; Azure; SQL; Statistics,14,,7,DeepLearning.AI,No,No
R05633,Generative AI; Statistics; R; AWS; Time Series Analysis; RAG Pipelines,6,Azure AI Engineer,14,Company training,Yes,Partially
R05634,A/B Testing; GCP; Docker; Graph Neural Networks,4,,2,Kaggle Learn,No,Yes
R05635,TensorFlow; AWS; PyTorch; Generative AI; Graph Neural Networks; Azure; LangChain; Python,8,,0,Pluralsight,Yes,Partially
R05636,AWS; Feature Engineering; Prompt Engineering; Graph Neural Networks; A/B Testing; Data Visualization,6,DeepLearning.AI Specialization,4,Self-study (books/papers),Yes,Yes
R05637,Reinforcement Learning; Transformers; Python; Docker; LangChain; Prompt Engineering; Feature Engineering; PyTorch; Statistics; Kubernetes; Fine-tuning LLMs; AWS; NLP,13,,4,Udemy,Yes,Yes
R05638,Time Series Analysis; Kubernetes; MLOps; Data Visualization; Reinforcement Learning; Graph Neural Networks,6,,2,Company training,Yes,No
R05639,Feature Engineering; R; Kubernetes; RAG Pipelines; MLOps; Transformers,6,DeepLearning.AI Specialization,5,edX,No,No
R05640,TensorFlow; AWS; Generative AI; Kubernetes; Azure; Python,6,Kaggle Competitions Expert,4,Udemy,No,No
R05641,Data Visualization; AWS; Transformers; Python; GCP; A/B Testing; Feature Engineering; MLOps; TensorFlow,9,Kaggle Competitions Expert,2,Fast.ai,No,Yes
R05642,Fine-tuning LLMs; TensorFlow; SQL; Time Series Analysis; A/B Testing; LangChain; Kubernetes; Prompt Engineering; R; Reinforcement Learning; Python,11,,13,edX,Yes,No
R05643,PyTorch; Edge AI / TinyML; R; GCP; Generative AI; Azure; MLOps; Python; LangChain; RAG Pipelines; Spark; Kubernetes; Statistics; Graph Neural Networks; Data Visualization,15,Kaggle Competitions Expert,6,YouTube,Yes,Partially
R05644,Generative AI; A/B Testing; Spark; GCP; Statistics; Docker; Kubernetes; Edge AI / TinyML,8,DeepLearning.AI Specialization,8,Company training,No,Yes
R05645,Docker; A/B Testing; GCP; Fine-tuning LLMs; Time Series Analysis; Graph Neural Networks,6,Kaggle Competitions Expert,0,LinkedIn Learning,Yes,No
R05646,MLOps; TensorFlow; Spark; GCP; Scikit-learn; Fine-tuning LLMs; Generative AI,7,Kaggle Competitions Expert,6,Self-study (books/papers),Yes,No
R05647,Data Visualization; SQL; Kubernetes; AWS,4,Google Professional ML Engineer,5,Company training,Yes,Partially
R05648,Edge AI / TinyML; GCP; LangChain; RAG Pipelines; Time Series Analysis; Graph Neural Networks; R; Generative AI; SQL; Data Visualization; TensorFlow; Pandas; Computer Vision; Reinforcement Learning,14,DeepLearning.AI Specialization,5,Company training,Yes,No
R05649,Computer Vision; Spark; Data Visualization; Fine-tuning LLMs; Reinforcement Learning; LangChain; Time Series Analysis; RAG Pipelines; AWS,9,,7,Udemy,Yes,Partially
R05650,Prompt Engineering; PyTorch; Data Visualization; Edge AI / TinyML,4,DeepLearning.AI Specialization,10,DeepLearning.AI,No,No
R05651,Reinforcement Learning; A/B Testing; Edge AI / TinyML; Scikit-learn; PyTorch; Fine-tuning LLMs; MLOps; RAG Pipelines; Computer Vision,9,,5,Kaggle Learn,Yes,Yes
R05652,A/B Testing; Fine-tuning LLMs; Edge AI / TinyML; TensorFlow; PyTorch; Prompt Engineering; Reinforcement Learning; Time Series Analysis; MLOps,9,TensorFlow Developer Certificate,4,Company training,No,Partially
R05653,NLP; Kubernetes; A/B Testing; Pandas; LangChain; Feature Engineering; PyTorch,7,DeepLearning.AI Specialization,0,Company training,Yes,No
R05654,Data Visualization; Edge AI / TinyML; Statistics; Python; TensorFlow; Fine-tuning LLMs; RAG Pipelines; Transformers; PyTorch,9,Kaggle Competitions Expert,13,Pluralsight,Yes,Yes
R05655,NLP; Spark; Azure; LangChain; Generative AI; Graph Neural Networks; RAG Pipelines; Pandas; Prompt Engineering,9,,9,edX,No,No
R05656,Spark; R; RAG Pipelines; Feature Engineering; GCP; Data Visualization; AWS; Generative AI; Python; SQL; Kubernetes; Docker; Pandas; Edge AI / TinyML; Fine-tuning LLMs,15,Google Professional ML Engineer,2,edX,No,No
R05657,Feature Engineering; TensorFlow; SQL; Docker; Edge AI / TinyML; Kubernetes; Python; AWS; Graph Neural Networks; Time Series Analysis; Generative AI; Azure; A/B Testing; Scikit-learn,14,,13,LinkedIn Learning,Yes,Partially
R05658,Fine-tuning LLMs; SQL; MLOps; Pandas; Time Series Analysis; Transformers; Graph Neural Networks; RAG Pipelines; LangChain; Generative AI; Data Visualization,11,TensorFlow Developer Certificate,13,LinkedIn Learning,Yes,No
R05659,TensorFlow; MLOps; Spark; Transformers; Time Series Analysis; Pandas,6,Google Professional ML Engineer,9,DeepLearning.AI,No,Yes
R05660,MLOps; Spark; Azure; Docker; NLP; Prompt Engineering; SQL; Python; Graph Neural Networks; Pandas,10,Kaggle Competitions Expert,12,YouTube,No,Yes
R05661,SQL; Transformers; Kubernetes; Edge AI / TinyML; Azure; Scikit-learn; Prompt Engineering; Pandas; NLP; GCP; Statistics; PyTorch; R,13,,3,Self-study (books/papers),Yes,Partially
R05662,Generative AI; AWS; NLP; Scikit-learn; Computer Vision; PyTorch; Data Visualization; Reinforcement Learning; SQL; LangChain; RAG Pipelines; R; Graph Neural Networks; Fine-tuning LLMs; A/B Testing,15,,10,University courses,Yes,Partially
R05663,Computer Vision; Reinforcement Learning; Python; Graph Neural Networks; RAG Pipelines,5,Google Professional ML Engineer,2,Self-study (books/papers),Yes,Yes
R05664,Transformers; Azure; Pandas; Computer Vision; Graph Neural Networks; Fine-tuning LLMs; R; Docker; Generative AI; Python; Kubernetes; Spark; Statistics; Prompt Engineering,14,,8,Udemy,Yes,Partially
R05665,Pandas; Fine-tuning LLMs; Statistics; Docker; A/B Testing; Transformers,6,,1,YouTube,No,No
R05666,Time Series Analysis; R; TensorFlow; LangChain; Transformers; Python; AWS,7,,5,Self-study (books/papers),Yes,No
R05667,Transformers; TensorFlow; Spark; AWS; GCP; Fine-tuning LLMs; Feature Engineering,7,,4,Coursera,Yes,Yes
R05668,Kubernetes; AWS; Python; TensorFlow; Feature Engineering; Statistics; Generative AI,7,,2,edX,No,Yes
R05669,Time Series Analysis; R; SQL; Azure; Feature Engineering; RAG Pipelines,6,AWS ML Specialty,12,Coursera,Yes,Partially
R05670,AWS; TensorFlow; Azure; Fine-tuning LLMs; Reinforcement Learning; Docker; Spark; Graph Neural Networks,8,AWS ML Specialty,12,Kaggle Learn,Yes,Yes
R05671,Reinforcement Learning; Generative AI; MLOps; Python; A/B Testing; AWS,6,TensorFlow Developer Certificate,14,YouTube,No,Partially
