respondent_id,ai_tool,usage_frequency,productivity_change_pct,satisfaction_score,primary_use_case
R05271,Jasper AI,Several times a week,48.5,4,Translation
R05271,LLaMA / Open-source LLMs,Monthly,22.2,4,Code generation
R05272,Stable Diffusion,Daily,18.2,5,Debugging
R05273,Azure OpenAI,Several times a week,42.8,2,Image generation
R05273,LLaMA / Open-source LLMs,Several times a week,55.9,5,Debugging
R05273,Cursor,Weekly,23.4,5,Data analysis
R05273,GitHub Copilot,Rarely,39.2,5,Customer support automation
R05273,v0 by Vercel,Several times a week,40.3,4,Translation
R05274,Cursor,Daily,67.9,5,Workflow automation
R05274,Gemini,Several times a week,46.5,5,Translation
R05274,Tableau AI,Several times a week,19.1,4,Research
R05275,Tableau AI,Several times a week,21.6,5,Translation
R05275,Perplexity,Several times a week,17.4,4,Writing & docs
R05275,Midjourney,Weekly,71.1,4,Workflow automation
R05275,Replit AI,Monthly,11.8,4,Code generation
R05276,Azure OpenAI,Monthly,-6.3,3,Data analysis
R05276,Google Vertex AI,Several times a week,35.8,4,Research
R05276,AWS Bedrock,Monthly,18.5,2,Customer support automation
R05276,ChatGPT,Daily,28.2,4,Translation
R05276,Jasper AI,Weekly,74.2,2,Research
R05277,Claude,Several times a week,3.1,3,Workflow automation
R05277,Cursor,Weekly,35.9,5,Brainstorming
R05277,Azure OpenAI,Monthly,49.2,5,Customer support automation
R05278,Tableau AI,Weekly,28.7,5,Code generation
R05278,Gemini,Rarely,54.1,5,Translation
R05278,Hugging Face Models,Weekly,-19.3,3,Image generation
R05278,Notion AI,Weekly,32.3,5,Workflow automation
R05278,Jasper AI,Rarely,63.2,4,Image generation
R05278,Azure OpenAI,Several times a week,38.1,4,Debugging
R05278,LLaMA / Open-source LLMs,Several times a week,-9.3,5,Image generation
R05279,Replit AI,Daily,40.3,2,Brainstorming
R05279,Gemini,Monthly,33.8,5,Research
R05279,AWS Bedrock,Rarely,7.9,3,Translation
R05279,Cursor,Weekly,33.1,4,Debugging
R05280,Stable Diffusion,Rarely,27.2,5,Debugging
R05281,Perplexity,Rarely,28.1,4,Debugging
R05281,Tableau AI,Daily,44.7,5,Image generation
R05282,Midjourney,Several times a week,36.9,1,Image generation
R05282,ChatGPT,Weekly,65.0,3,Brainstorming
R05282,Azure OpenAI,Weekly,44.5,4,Translation
R05283,Replit AI,Several times a week,19.2,4,Brainstorming
R05283,Devin,Weekly,21.5,3,Data analysis
R05283,Azure OpenAI,Daily,44.5,5,Code generation
R05283,v0 by Vercel,Several times a week,30.0,3,Code generation
R05283,LLaMA / Open-source LLMs,Daily,61.1,4,Debugging
R05283,Claude,Several times a week,9.1,4,Image generation
R05283,Google Vertex AI,Rarely,16.8,3,Image generation
R05283,Jasper AI,Monthly,32.2,4,Workflow automation
R05284,Tableau AI,Several times a week,35.0,4,Debugging
R05284,Notion AI,Several times a week,0.9,5,Customer support automation
R05285,Claude,Weekly,38.7,5,Translation
R05285,Tableau AI,Several times a week,53.8,3,Research
R05285,Midjourney,Monthly,23.7,5,Debugging
R05286,ChatGPT,Several times a week,29.4,4,Writing & docs
R05286,Claude,Several times a week,58.8,3,Debugging
R05287,Perplexity,Rarely,4.0,2,Customer support automation
R05287,GitHub Copilot,Several times a week,23.4,4,Code generation
R05287,Hugging Face Models,Daily,2.1,3,Research
R05288,Tableau AI,Several times a week,35.1,5,Data analysis
R05288,Notion AI,Daily,52.2,4,Writing & docs
R05288,Gemini,Daily,38.6,3,Research
R05288,Custom In-house AI,Weekly,12.4,3,Data analysis
R05288,ChatGPT,Monthly,28.8,5,Customer support automation
R05288,Hugging Face Models,Daily,-7.2,3,Research
R05288,AWS Bedrock,Daily,28.2,4,Brainstorming
R05289,Notion AI,Several times a week,16.6,2,Brainstorming
R05289,ChatGPT,Several times a week,15.2,3,Research
R05289,v0 by Vercel,Daily,43.5,5,Brainstorming
R05290,Stable Diffusion,Rarely,51.0,4,Customer support automation
R05290,Custom In-house AI,Weekly,44.4,4,Workflow automation
R05291,Google Vertex AI,Several times a week,-20.0,4,Research
R05291,Hugging Face Models,Monthly,11.0,5,Code generation
R05291,Tableau AI,Weekly,22.6,5,Image generation
R05291,Gemini,Monthly,66.3,4,Data analysis
R05291,Claude,Daily,31.1,5,Translation
R05291,ChatGPT,Daily,6.8,5,Code generation
R05291,GitHub Copilot,Daily,14.2,5,Data analysis
R05292,Custom In-house AI,Daily,18.6,2,Image generation
R05292,Tableau AI,Daily,39.1,3,Data analysis
R05292,AWS Bedrock,Monthly,55.3,3,Image generation
R05292,GitHub Copilot,Weekly,24.7,3,Writing & docs
R05292,Replit AI,Monthly,23.0,1,Image generation
R05292,Google Vertex AI,Weekly,24.3,4,Workflow automation
R05292,Hugging Face Models,Monthly,40.9,4,Data analysis
R05292,LLaMA / Open-source LLMs,Rarely,24.0,4,Writing & docs
R05293,GitHub Copilot,Daily,34.5,5,Image generation
R05293,Tableau AI,Several times a week,25.2,3,Research
R05293,Azure OpenAI,Several times a week,36.4,4,Brainstorming
R05293,Stable Diffusion,Rarely,24.8,5,Brainstorming
R05293,Replit AI,Daily,36.1,4,Research
R05294,Replit AI,Several times a week,32.8,5,Debugging
R05294,Custom In-house AI,Rarely,74.7,2,Debugging
R05294,Devin,Daily,31.8,5,Image generation
R05295,Azure OpenAI,Monthly,25.0,4,Workflow automation
R05295,Gemini,Weekly,29.3,5,Image generation
R05295,AWS Bedrock,Monthly,51.0,3,Writing & docs
R05295,Jasper AI,Several times a week,39.6,5,Writing & docs
R05296,GitHub Copilot,Daily,76.6,3,Debugging
R05296,Custom In-house AI,Daily,49.1,4,Image generation
R05296,Perplexity,Monthly,-8.0,5,Debugging
R05297,Google Vertex AI,Several times a week,8.6,2,Debugging
R05297,LLaMA / Open-source LLMs,Several times a week,-2.5,4,Translation
R05297,Azure OpenAI,Several times a week,50.9,4,Workflow automation
R05297,Tableau AI,Several times a week,25.1,5,Writing & docs
R05297,Hugging Face Models,Several times a week,8.1,5,Data analysis
R05298,Hugging Face Models,Several times a week,1.2,3,Image generation
R05298,Tableau AI,Daily,35.2,5,Image generation
R05298,AWS Bedrock,Weekly,25.0,4,Workflow automation
R05298,Notion AI,Several times a week,32.8,4,Writing & docs
R05299,Stable Diffusion,Several times a week,54.9,4,Image generation
R05299,Midjourney,Monthly,29.6,4,Debugging
R05299,Custom In-house AI,Weekly,47.7,5,Translation
R05299,Azure OpenAI,Daily,39.8,1,Research
R05300,Notion AI,Rarely,19.1,3,Image generation
R05300,Google Vertex AI,Rarely,-1.2,5,Workflow automation
R05300,v0 by Vercel,Weekly,9.5,4,Workflow automation
R05300,Perplexity,Daily,-0.2,4,Image generation
R05300,Hugging Face Models,Weekly,22.0,5,Writing & docs
R05300,Claude,Daily,41.0,3,Data analysis
R05301,Midjourney,Daily,14.5,3,Research
R05301,AWS Bedrock,Daily,39.3,4,Code generation
R05301,Notion AI,Several times a week,29.3,3,Research
R05301,v0 by Vercel,Daily,37.9,4,Writing & docs
R05301,Gemini,Weekly,50.6,4,Data analysis
R05302,GitHub Copilot,Weekly,-2.2,5,Research
R05302,LLaMA / Open-source LLMs,Several times a week,52.2,5,Code generation
R05302,Custom In-house AI,Daily,36.8,4,Customer support automation
R05303,Google Vertex AI,Several times a week,25.2,4,Debugging
R05303,GitHub Copilot,Rarely,60.8,5,Translation
R05303,Devin,Daily,29.3,3,Debugging
R05303,Custom In-house AI,Rarely,50.9,4,Brainstorming
R05303,Midjourney,Monthly,53.5,4,Research
R05304,Perplexity,Weekly,15.5,5,Data analysis
R05304,Stable Diffusion,Daily,26.6,4,Writing & docs
R05305,Hugging Face Models,Monthly,29.1,4,Image generation
R05305,LLaMA / Open-source LLMs,Several times a week,5.2,2,Data analysis
R05305,Replit AI,Several times a week,30.4,3,Translation
R05305,Cursor,Monthly,75.1,1,Image generation
R05305,Custom In-house AI,Monthly,33.2,5,Image generation
R05305,Tableau AI,Monthly,22.3,3,Workflow automation
R05305,Claude,Weekly,29.5,4,Customer support automation
R05306,Hugging Face Models,Rarely,-18.6,1,Debugging
R05306,Jasper AI,Several times a week,9.6,5,Customer support automation
R05306,Replit AI,Several times a week,33.0,4,Customer support automation
R05307,Cursor,Weekly,-1.6,5,Image generation
R05307,Devin,Several times a week,27.6,3,Debugging
R05307,Midjourney,Several times a week,46.6,2,Research
R05307,Gemini,Several times a week,52.6,5,Debugging
R05308,Cursor,Monthly,63.6,5,Code generation
R05308,Midjourney,Rarely,0.0,3,Writing & docs
R05308,GitHub Copilot,Weekly,11.0,3,Customer support automation
R05309,Devin,Daily,-12.0,5,Research
R05309,LLaMA / Open-source LLMs,Weekly,1.2,5,Translation
R05309,AWS Bedrock,Monthly,46.8,4,Debugging
R05309,Midjourney,Daily,5.1,5,Code generation
R05309,Cursor,Several times a week,49.7,3,Research
R05309,Jasper AI,Weekly,11.6,3,Brainstorming
R05310,Replit AI,Monthly,30.3,4,Research
R05310,Hugging Face Models,Daily,46.9,4,Customer support automation
R05310,Stable Diffusion,Several times a week,14.9,4,Writing & docs
R05310,Custom In-house AI,Monthly,-4.0,1,Writing & docs
R05310,Tableau AI,Several times a week,44.1,5,Research
R05311,GitHub Copilot,Daily,65.9,3,Data analysis
R05311,Replit AI,Several times a week,30.8,3,Code generation
R05311,Claude,Weekly,20.0,2,Workflow automation
R05312,GitHub Copilot,Daily,24.4,4,Writing & docs
R05312,Tableau AI,Several times a week,46.7,3,Debugging
R05312,Google Vertex AI,Daily,-0.9,4,Customer support automation
R05312,Notion AI,Monthly,13.5,4,Customer support automation
R05312,v0 by Vercel,Weekly,51.3,4,Translation
R05312,Hugging Face Models,Weekly,30.8,3,Image generation
R05313,GitHub Copilot,Weekly,27.5,4,Writing & docs
R05313,Notion AI,Daily,22.3,4,Image generation
R05313,Stable Diffusion,Monthly,-0.7,5,Customer support automation
R05313,Devin,Monthly,3.6,5,Data analysis
R05314,Gemini,Daily,22.5,3,Research
R05315,v0 by Vercel,Several times a week,28.3,3,Translation
R05315,Tableau AI,Daily,55.2,2,Brainstorming
R05315,Midjourney,Weekly,36.8,4,Workflow automation
R05316,Hugging Face Models,Weekly,8.1,4,Customer support automation
R05316,Jasper AI,Several times a week,15.2,4,Data analysis
R05316,Devin,Daily,24.6,1,Brainstorming
R05316,Stable Diffusion,Several times a week,-3.2,4,Translation
R05317,AWS Bedrock,Weekly,66.4,4,Customer support automation
R05318,GitHub Copilot,Daily,26.8,2,Debugging
R05319,ChatGPT,Weekly,24.6,5,Image generation
R05319,Devin,Several times a week,2.4,4,Data analysis
R05319,Claude,Weekly,60.2,4,Research
R05319,Custom In-house AI,Monthly,4.7,5,Customer support automation
R05320,LLaMA / Open-source LLMs,Several times a week,60.5,4,Debugging
R05320,Cursor,Weekly,37.0,2,Image generation
R05321,Claude,Several times a week,51.4,4,Debugging
R05321,Devin,Weekly,47.3,5,Translation
R05321,Perplexity,Weekly,44.2,4,Image generation
R05321,Custom In-house AI,Rarely,44.9,2,Research
R05321,Cursor,Daily,68.8,2,Translation
R05321,v0 by Vercel,Rarely,3.2,4,Brainstorming
R05322,Gemini,Weekly,21.1,4,Image generation
R05322,Tableau AI,Rarely,48.9,4,Workflow automation
R05322,Claude,Weekly,36.8,3,Translation
R05322,LLaMA / Open-source LLMs,Several times a week,10.7,5,Brainstorming
R05322,Cursor,Several times a week,18.1,4,Brainstorming
R05323,Azure OpenAI,Rarely,21.8,4,Workflow automation
R05323,Midjourney,Weekly,27.1,5,Brainstorming
R05324,ChatGPT,Several times a week,8.0,5,Workflow automation
R05324,Devin,Daily,36.5,5,Data analysis
R05324,Gemini,Monthly,41.9,1,Code generation
R05324,Cursor,Several times a week,24.7,5,Debugging
R05325,Midjourney,Weekly,36.1,4,Writing & docs
R05325,Gemini,Weekly,14.9,4,Brainstorming
R05325,Google Vertex AI,Daily,25.1,4,Image generation
R05325,Azure OpenAI,Weekly,22.8,4,Debugging
R05325,Hugging Face Models,Daily,35.7,3,Data analysis
R05326,Cursor,Daily,26.3,5,Debugging
R05326,Stable Diffusion,Daily,53.9,1,Translation
R05326,Replit AI,Weekly,-17.3,4,Brainstorming
R05326,Custom In-house AI,Several times a week,46.1,5,Data analysis
R05327,Devin,Several times a week,29.6,5,Customer support automation
R05327,Tableau AI,Daily,13.0,4,Data analysis
R05327,ChatGPT,Monthly,16.5,4,Writing & docs
R05327,v0 by Vercel,Weekly,50.8,4,Translation
R05327,Notion AI,Several times a week,11.0,4,Debugging
R05328,LLaMA / Open-source LLMs,Weekly,8.2,4,Workflow automation
R05328,Devin,Daily,31.0,2,Customer support automation
R05328,Perplexity,Rarely,31.5,4,Research
R05329,Midjourney,Rarely,8.2,4,Workflow automation
R05329,Notion AI,Daily,69.1,3,Brainstorming
R05329,GitHub Copilot,Several times a week,43.3,4,Code generation
R05329,Claude,Daily,3.0,3,Data analysis
R05330,Claude,Several times a week,7.8,2,Debugging
R05330,Perplexity,Weekly,10.8,5,Brainstorming
R05331,ChatGPT,Several times a week,38.5,4,Image generation
R05332,Stable Diffusion,Daily,2.7,2,Workflow automation
R05332,Tableau AI,Monthly,56.7,4,Workflow automation
R05332,Perplexity,Weekly,17.7,3,Code generation
R05332,Jasper AI,Weekly,37.6,4,Debugging
R05332,Claude,Several times a week,19.6,4,Translation
R05333,GitHub Copilot,Weekly,56.0,4,Research
R05333,Perplexity,Rarely,23.0,3,Translation
R05333,Google Vertex AI,Daily,34.4,4,Writing & docs
R05333,AWS Bedrock,Daily,20.2,5,Research
R05334,LLaMA / Open-source LLMs,Weekly,56.3,2,Code generation
R05334,ChatGPT,Several times a week,41.0,5,Writing & docs
R05334,GitHub Copilot,Rarely,21.8,3,Debugging
R05335,Jasper AI,Several times a week,58.5,5,Customer support automation
R05335,Stable Diffusion,Daily,48.1,4,Brainstorming
R05335,v0 by Vercel,Daily,49.0,4,Workflow automation
R05335,Devin,Weekly,49.5,4,Image generation
R05335,Midjourney,Daily,25.5,5,Writing & docs
R05336,Devin,Several times a week,40.7,5,Writing & docs
R05336,ChatGPT,Several times a week,40.7,4,Debugging
R05337,Custom In-house AI,Daily,15.5,5,Writing & docs
R05337,Azure OpenAI,Several times a week,26.7,4,Data analysis
R05337,Jasper AI,Several times a week,16.2,3,Data analysis
R05337,Tableau AI,Several times a week,24.7,1,Debugging
R05338,Stable Diffusion,Weekly,2.1,5,Translation
R05338,Jasper AI,Several times a week,53.1,4,Data analysis
R05338,GitHub Copilot,Rarely,37.1,5,Research
R05338,Google Vertex AI,Monthly,18.4,4,Code generation
R05338,Custom In-house AI,Daily,26.3,5,Research
R05339,v0 by Vercel,Daily,20.3,5,Research
R05339,Jasper AI,Monthly,13.4,5,Image generation
R05339,Custom In-house AI,Daily,6.7,4,Translation
R05339,Hugging Face Models,Several times a week,-4.6,3,Workflow automation
R05339,Perplexity,Several times a week,48.1,4,Customer support automation
R05340,Midjourney,Daily,31.5,4,Workflow automation
R05340,Azure OpenAI,Rarely,11.0,5,Brainstorming
R05340,LLaMA / Open-source LLMs,Rarely,40.9,4,Debugging
R05340,Stable Diffusion,Several times a week,59.2,3,Writing & docs
R05340,Cursor,Rarely,62.0,5,Research
R05341,Gemini,Monthly,26.8,2,Image generation
R05341,Google Vertex AI,Daily,28.4,5,Image generation
R05341,ChatGPT,Monthly,43.3,1,Debugging
R05341,Hugging Face Models,Monthly,24.2,4,Workflow automation
R05341,v0 by Vercel,Daily,24.9,4,Research
R05342,Midjourney,Monthly,14.6,4,Image generation
R05342,Custom In-house AI,Weekly,39.8,5,Translation
R05342,Notion AI,Daily,34.7,5,Writing & docs
R05342,AWS Bedrock,Rarely,6.0,5,Workflow automation
R05343,Jasper AI,Several times a week,33.3,1,Brainstorming
R05344,AWS Bedrock,Daily,29.2,5,Customer support automation
R05344,Hugging Face Models,Several times a week,50.2,4,Debugging
R05344,Gemini,Daily,27.1,3,Debugging
R05344,Custom In-house AI,Daily,55.8,5,Data analysis
R05345,Gemini,Daily,27.8,5,Debugging
R05345,LLaMA / Open-source LLMs,Rarely,8.9,4,Image generation
R05345,AWS Bedrock,Weekly,25.6,5,Data analysis
R05345,Jasper AI,Monthly,38.0,4,Data analysis
R05345,Azure OpenAI,Daily,55.5,4,Customer support automation
R05345,Notion AI,Daily,18.1,3,Debugging
R05346,Gemini,Daily,12.2,5,Research
R05346,GitHub Copilot,Several times a week,59.8,5,Research
R05346,Azure OpenAI,Several times a week,33.0,2,Writing & docs
R05346,Claude,Rarely,27.9,4,Code generation
R05346,Hugging Face Models,Daily,31.1,5,Research
R05347,Azure OpenAI,Several times a week,21.6,2,Customer support automation
R05347,Tableau AI,Several times a week,15.9,1,Writing & docs
R05347,Midjourney,Several times a week,61.5,5,Data analysis
R05348,Azure OpenAI,Several times a week,53.7,4,Research
R05348,LLaMA / Open-source LLMs,Several times a week,53.5,2,Workflow automation
R05348,Replit AI,Weekly,29.8,4,Brainstorming
R05348,Devin,Several times a week,30.6,2,Workflow automation
R05349,Replit AI,Monthly,53.2,5,Brainstorming
R05349,Jasper AI,Several times a week,23.0,4,Translation
R05349,Claude,Rarely,18.4,3,Image generation
R05349,Midjourney,Daily,33.1,4,Customer support automation
R05349,Gemini,Daily,13.6,4,Writing & docs
R05349,ChatGPT,Weekly,44.1,2,Customer support automation
R05349,v0 by Vercel,Daily,33.4,3,Workflow automation
R05349,Custom In-house AI,Several times a week,25.2,4,Image generation
R05350,Claude,Several times a week,14.6,3,Customer support automation
R05350,v0 by Vercel,Weekly,-3.2,5,Research
R05350,Midjourney,Rarely,23.7,5,Brainstorming
R05351,Devin,Several times a week,3.7,4,Customer support automation
R05351,LLaMA / Open-source LLMs,Monthly,14.2,4,Writing & docs
R05352,Gemini,Weekly,36.6,3,Debugging
R05352,LLaMA / Open-source LLMs,Weekly,55.7,4,Writing & docs
R05352,Replit AI,Weekly,18.3,4,Research
R05353,Cursor,Several times a week,21.8,2,Customer support automation
R05353,AWS Bedrock,Daily,32.8,4,Research
R05353,Notion AI,Rarely,25.8,5,Debugging
R05353,Google Vertex AI,Daily,12.2,3,Image generation
R05354,GitHub Copilot,Daily,63.2,5,Translation
R05354,LLaMA / Open-source LLMs,Daily,-7.9,5,Customer support automation
R05355,Jasper AI,Daily,18.3,3,Translation
R05355,Replit AI,Daily,54.0,3,Code generation
R05356,Perplexity,Several times a week,41.3,5,Brainstorming
R05356,Notion AI,Weekly,34.3,2,Code generation
R05357,Gemini,Daily,30.8,5,Image generation
R05357,Jasper AI,Rarely,45.4,1,Research
R05358,Gemini,Several times a week,0.1,5,Research
R05358,Custom In-house AI,Daily,49.2,4,Workflow automation
R05359,GitHub Copilot,Several times a week,33.7,5,Research
R05359,Tableau AI,Weekly,13.0,2,Data analysis
R05359,Jasper AI,Rarely,19.4,5,Image generation
R05359,Google Vertex AI,Several times a week,53.8,5,Customer support automation
R05360,Hugging Face Models,Monthly,22.8,3,Brainstorming
R05361,Stable Diffusion,Several times a week,55.4,3,Research
R05361,ChatGPT,Weekly,17.7,5,Debugging
R05361,Gemini,Several times a week,43.7,5,Debugging
R05362,Devin,Several times a week,52.1,4,Research
R05362,Midjourney,Several times a week,43.1,4,Research
R05362,ChatGPT,Daily,-7.5,5,Writing & docs
R05362,Jasper AI,Weekly,33.5,3,Customer support automation
R05363,ChatGPT,Weekly,14.9,4,Debugging
R05363,LLaMA / Open-source LLMs,Monthly,49.7,4,Data analysis
R05363,Perplexity,Daily,1.8,3,Code generation
R05364,Cursor,Daily,80.0,4,Data analysis
R05365,Midjourney,Rarely,44.4,4,Customer support automation
R05365,Stable Diffusion,Weekly,51.0,4,Image generation
R05365,v0 by Vercel,Rarely,46.2,4,Workflow automation
R05366,Stable Diffusion,Daily,18.4,2,Research
R05366,GitHub Copilot,Daily,30.9,5,Translation
R05366,Replit AI,Daily,26.0,5,Research
R05366,Claude,Several times a week,35.1,5,Workflow automation
R05367,Custom In-house AI,Several times a week,37.2,3,Data analysis
R05367,Stable Diffusion,Several times a week,29.2,4,Workflow automation
R05367,LLaMA / Open-source LLMs,Monthly,65.0,5,Debugging
R05367,Hugging Face Models,Weekly,44.7,5,Image generation
R05367,Replit AI,Several times a week,44.7,5,Research
R05367,Devin,Several times a week,4.4,4,Code generation
R05367,Jasper AI,Monthly,48.4,5,Data analysis
R05368,Perplexity,Several times a week,24.0,4,Brainstorming
R05369,Jasper AI,Daily,39.9,2,Workflow automation
R05370,GitHub Copilot,Several times a week,51.3,5,Code generation
R05370,Notion AI,Daily,1.8,5,Brainstorming
R05371,Devin,Rarely,28.7,4,Customer support automation
R05371,Jasper AI,Several times a week,18.3,5,Translation
R05371,Tableau AI,Weekly,34.9,3,Research
R05371,Google Vertex AI,Daily,29.0,5,Image generation
R05371,AWS Bedrock,Several times a week,32.8,3,Writing & docs
R05371,ChatGPT,Several times a week,42.5,4,Image generation
R05371,v0 by Vercel,Monthly,32.4,5,Data analysis
R05372,Replit AI,Several times a week,39.8,3,Debugging
R05372,GitHub Copilot,Several times a week,44.9,5,Research
R05372,v0 by Vercel,Several times a week,51.0,2,Translation
R05372,Gemini,Weekly,9.7,3,Data analysis
R05373,Perplexity,Monthly,19.6,4,Research
R05373,Devin,Several times a week,51.2,5,Translation
R05373,Stable Diffusion,Daily,33.4,5,Translation
R05374,ChatGPT,Several times a week,19.5,4,Workflow automation
R05375,Midjourney,Several times a week,27.1,5,Brainstorming
R05375,Devin,Monthly,43.3,3,Writing & docs
R05375,Hugging Face Models,Several times a week,14.4,3,Data analysis
R05375,Replit AI,Daily,26.0,4,Image generation
R05375,Notion AI,Weekly,42.8,4,Writing & docs
R05375,Tableau AI,Daily,34.3,4,Workflow automation
R05376,Stable Diffusion,Rarely,2.1,3,Brainstorming
R05376,Azure OpenAI,Monthly,17.5,5,Writing & docs
R05376,AWS Bedrock,Rarely,17.5,4,Research
R05376,Devin,Monthly,34.9,3,Debugging
R05376,Perplexity,Several times a week,29.4,4,Customer support automation
R05376,Hugging Face Models,Rarely,13.3,5,Brainstorming
R05376,Gemini,Several times a week,26.9,4,Code generation
R05376,GitHub Copilot,Several times a week,24.4,2,Data analysis
R05377,Hugging Face Models,Several times a week,53.6,4,Debugging
R05377,Stable Diffusion,Daily,67.8,3,Translation
R05377,ChatGPT,Weekly,54.7,5,Code generation
R05377,Cursor,Several times a week,-5.5,4,Brainstorming
R05377,Azure OpenAI,Several times a week,44.7,3,Debugging
R05378,Cursor,Weekly,-16.4,2,Image generation
R05378,Gemini,Several times a week,43.2,3,Customer support automation
R05378,Azure OpenAI,Weekly,7.3,5,Debugging
R05378,Jasper AI,Several times a week,57.3,5,Customer support automation
R05378,Notion AI,Several times a week,-1.1,5,Customer support automation
R05378,Claude,Daily,23.2,2,Code generation
R05379,Cursor,Daily,22.0,3,Brainstorming
R05379,Tableau AI,Daily,21.0,4,Debugging
R05379,Stable Diffusion,Weekly,65.5,1,Code generation
R05379,LLaMA / Open-source LLMs,Daily,-20.0,4,Debugging
R05379,v0 by Vercel,Daily,33.7,5,Research
R05379,AWS Bedrock,Daily,32.7,3,Translation
R05380,Stable Diffusion,Several times a week,25.1,3,Image generation
R05380,Jasper AI,Monthly,57.9,4,Brainstorming
R05380,Gemini,Several times a week,43.1,4,Translation
R05381,v0 by Vercel,Several times a week,57.6,3,Workflow automation
R05381,Hugging Face Models,Monthly,5.0,2,Brainstorming
R05382,AWS Bedrock,Several times a week,35.4,4,Code generation
R05382,Stable Diffusion,Several times a week,19.7,5,Customer support automation
R05382,Midjourney,Weekly,42.2,5,Debugging
R05382,v0 by Vercel,Rarely,26.0,5,Writing & docs
R05383,Gemini,Daily,80.0,4,Data analysis
R05383,Custom In-house AI,Daily,22.3,4,Debugging
R05384,Devin,Several times a week,19.9,5,Translation
R05384,Perplexity,Rarely,56.3,5,Translation
R05385,LLaMA / Open-source LLMs,Several times a week,21.7,4,Brainstorming
R05386,v0 by Vercel,Monthly,28.1,4,Debugging
R05386,AWS Bedrock,Rarely,53.1,4,Debugging
R05387,Replit AI,Daily,-16.2,4,Data analysis
R05387,AWS Bedrock,Weekly,32.2,3,Translation
R05387,GitHub Copilot,Several times a week,1.7,5,Customer support automation
R05388,LLaMA / Open-source LLMs,Weekly,32.0,4,Research
R05388,AWS Bedrock,Weekly,73.9,4,Data analysis
R05388,Jasper AI,Several times a week,22.4,2,Workflow automation
R05389,AWS Bedrock,Several times a week,9.9,2,Image generation
R05389,Custom In-house AI,Weekly,28.5,4,Debugging
R05389,v0 by Vercel,Several times a week,59.1,3,Image generation
R05389,Cursor,Monthly,60.8,4,Translation
R05389,Midjourney,Monthly,25.9,4,Workflow automation
R05389,GitHub Copilot,Daily,1.8,4,Code generation
R05390,GitHub Copilot,Monthly,-0.4,5,Data analysis
R05390,Jasper AI,Weekly,28.9,3,Research
R05390,Custom In-house AI,Several times a week,21.6,5,Customer support automation
R05390,ChatGPT,Daily,26.6,2,Debugging
R05391,AWS Bedrock,Weekly,80.0,3,Image generation
R05391,Hugging Face Models,Daily,12.6,5,Workflow automation
R05391,Cursor,Several times a week,29.0,5,Image generation
R05391,Google Vertex AI,Weekly,24.3,3,Translation
R05392,Midjourney,Daily,56.7,5,Code generation
R05392,Devin,Daily,22.4,5,Writing & docs
R05392,Jasper AI,Daily,22.0,4,Debugging
R05392,Hugging Face Models,Weekly,28.6,5,Workflow automation
R05393,GitHub Copilot,Daily,44.3,5,Translation
R05393,AWS Bedrock,Rarely,37.8,3,Customer support automation
R05394,AWS Bedrock,Several times a week,43.4,5,Translation
R05394,v0 by Vercel,Daily,39.1,5,Image generation
R05394,Custom In-house AI,Weekly,39.7,5,Image generation
R05394,Devin,Daily,8.4,3,Writing & docs
R05395,Tableau AI,Monthly,27.5,5,Debugging
R05395,Cursor,Weekly,16.7,5,Debugging
R05395,Gemini,Daily,8.1,4,Code generation
R05395,Notion AI,Monthly,-3.3,4,Translation
R05396,GitHub Copilot,Several times a week,12.7,4,Customer support automation
R05396,Midjourney,Several times a week,45.5,3,Workflow automation
R05396,Jasper AI,Weekly,3.8,5,Writing & docs
R05396,Custom In-house AI,Rarely,57.5,5,Code generation
R05397,Google Vertex AI,Weekly,26.7,4,Data analysis
R05398,Google Vertex AI,Monthly,18.4,5,Data analysis
R05399,Claude,Several times a week,22.7,5,Data analysis
R05399,Replit AI,Weekly,55.8,5,Customer support automation
R05399,Gemini,Weekly,29.8,5,Writing & docs
R05399,Azure OpenAI,Monthly,47.5,3,Translation
R05400,Devin,Several times a week,25.3,4,Workflow automation
R05400,GitHub Copilot,Weekly,43.3,3,Translation
R05400,Cursor,Monthly,56.2,2,Data analysis
R05400,Stable Diffusion,Weekly,31.4,3,Customer support automation
R05401,GitHub Copilot,Monthly,56.4,5,Image generation
R05401,Midjourney,Several times a week,30.0,5,Customer support automation
R05401,Custom In-house AI,Daily,40.1,1,Brainstorming
R05401,Claude,Weekly,64.7,5,Translation
R05402,AWS Bedrock,Daily,36.4,4,Code generation
R05402,Custom In-house AI,Several times a week,0.6,5,Research
R05402,Gemini,Weekly,-15.0,5,Research
R05403,GitHub Copilot,Weekly,41.1,3,Writing & docs
R05403,AWS Bedrock,Daily,39.0,4,Code generation
R05403,Perplexity,Several times a week,38.8,3,Customer support automation
R05403,Gemini,Several times a week,31.0,3,Writing & docs
R05403,Replit AI,Several times a week,8.8,2,Research
R05403,v0 by Vercel,Several times a week,34.0,3,Data analysis
R05404,Replit AI,Daily,17.0,2,Image generation
R05404,AWS Bedrock,Several times a week,43.6,5,Code generation
R05404,ChatGPT,Monthly,18.2,4,Debugging
R05404,Cursor,Monthly,42.4,4,Writing & docs
R05404,Devin,Several times a week,17.6,3,Workflow automation
R05404,Midjourney,Weekly,35.0,4,Debugging
R05404,Hugging Face Models,Monthly,25.2,5,Translation
